split,model,n_train,n_test,r2_baseline,r2_full,delta_r2,mae_baseline,mae_full,delta_mae,rmse_baseline,rmse_full,delta_rmse,rho_baseline,rho_full,delta_rho,ndcg20_baseline,ndcg20_full,delta_ndcg20,p10_baseline,p10_full,delta_p10,alpha_baseline,alpha_full
30,ridge,114,32,0.4278995641913963,0.4245164977893391,-0.003383066402057211,8.10818787879364,8.077299921235218,-0.030887957558421775,10.1557880529847,10.185771478969714,0.029983425985014023,0.6631231671554252,0.6037390029325512,-0.05938416422287396,0.8817836866040429,0.8689578305242872,-0.012825856079755726,0.7,0.7,0.0,6.158482110660261,12.742749857031322
30,ols,114,32,0.42046502708530953,0.427488323754756,0.007023296669446455,8.186674296406801,8.132919193468737,-0.05375510293806407,10.22156310235465,10.159437517469511,-0.06212558488513942,0.6675219941348973,0.6077712609970675,-0.05975073313782986,0.882579825252166,0.8694245285167441,-0.013155296735421929,0.7,0.7,0.0,,
31,ridge,119,27,-0.21669478504285156,-0.347740909741981,-0.13104612469912946,5.354059467369881,5.530581084573957,0.17652161720407644,6.706408080553195,7.0583364942423374,0.3519284136891425,0.23626373626373626,0.17155067155067155,-0.0647130647130647,0.9774463647850591,0.9581666105957021,-0.019279754189357012,0.6,0.5,-0.09999999999999998,6.158482110660261,12.742749857031322
31,ols,119,27,-0.27270110970508554,-0.4485188009090135,-0.17581769120392798,5.512485232949263,5.7790233373636815,0.26653810441441816,6.859024664125855,7.317474562139406,0.4584498980135505,0.23687423687423687,0.17155067155067155,-0.06532356532356531,0.9774463648498256,0.9581666105957021,-0.019279754254123538,0.6,0.5,-0.09999999999999998,,
32,ridge,101,45,0.26350333228669653,0.18972675531965133,-0.0737765769670452,11.062527634770756,11.044453621844191,-0.018074012926565075,15.592102050252171,16.3544154087808,0.7623133585286279,0.7075098814229248,0.6864295125164689,-0.021080368906455926,0.4206937225189099,0.38499482124708717,-0.035698901271822736,0.7,0.7,0.0,6.158482110660261,6.158482110660261
32,ols,101,45,0.2823963485825579,0.20380064508584006,-0.07859570349671785,11.046870707639657,11.027388701937905,-0.01948200570175196,15.39081420215357,16.211760760239518,0.8209465580859483,0.7089591567852437,0.6864295125164689,-0.022529644268774796,0.4206942866107156,0.38499482124708717,-0.035699465363628446,0.7,0.7,0.0,,
33,ridge,102,44,0.2120017746243289,0.17368650115132978,-0.03831527347299912,11.707747473772418,11.695451216009445,-0.012296257762972829,16.62654088411818,17.025963916549436,0.39942303243125465,0.7354474982381959,0.73615221987315,0.0007047216349541641,0.39167742847310405,0.37999504636244125,-0.011682382110662803,0.6,0.6,0.0,6.158482110660261,6.158482110660261
33,ols,102,44,0.23218438587199008,0.1875100634898177,-0.04467432238217239,11.661829046721447,11.646910814580275,-0.014918232141171828,16.412236052290222,16.88294789510162,0.4707118428113972,0.7410852713178294,0.7434813248766737,0.0023960535588443133,0.3916830370995581,0.3801159863487166,-0.011567050750841523,0.6,0.6,0.0,,
34,ridge,122,24,-0.11425311348589706,-0.11346791053237792,0.0007852029535191374,6.439784062384991,6.374700611443688,-0.06508345094130252,8.47362024821551,8.470634084594241,-0.0029861636212693554,0.4756521739130434,0.4260869565217391,-0.04956521739130426,0.9168275573389235,0.9147204463707999,-0.00210711096812366,0.6,0.6,0.0,6.158482110660261,12.742749857031322
34,ols,122,24,-0.1874028933285783,-0.2365439871777375,-0.04914109384915921,6.680953081888302,6.715231818611534,0.03427873672323223,8.74734227010986,8.926513244909447,0.17917097479958777,0.4756521739130434,0.4313043478260869,-0.04434782608695648,0.9168275573389235,0.9147273678942566,-0.0021001894446669445,0.6,0.6,0.0,,
